candidate_id,story_id,candidate_name,candidate_gender,won,first_girl,introduction_order,childhood_connection,commitment_status,primary_archetype,hair_color,confidence_score,reasoning,appearance_order,first_chapter_or_episode,favorites,story_favorites_rank
C0001,1,Chitoge Kirisaki,Female,1,1,1,Childhood Promise,Marriage,Tsundere,Blonde,1.0,"Chitoge is the first girl introduced in the manga, holds a childhood promise, and is the canonical winner who marries Raku.",1,Chapter 1,11305,1
C0002,1,Kosaki Onodera,Female,0,0,2,Childhood Promise,,Deredere,Black,1.0,"Introduced shortly after Chitoge, holds a childhood promise, but does not win.",1,Chapter 1,7715,2
C0003,1,Seishirou Tsugumi,Female,0,0,3,,,Tsundere,Blue,1.0,"Introduced as a hitman sent to kill Raku, later becomes a romantic interest.",2,Chapter 14,0,4
C0004,1,Marika Tachibana,Female,0,0,4,Childhood Promise,,Deredere,Orange,1.0,"Introduced later in the series, holds a childhood promise, does not win.",3,Chapter 33,0,4
C0005,1,Yui Kanakura,Female,0,0,5,,,Deredere,Black,0.85,Automatically recovered missing major candidate: Yui Kanakura.,4,Chapter 118,90,3
C0006,2,Ichika Nakano,Female,0,0,1,,,Onee-san,Pink,1.0,"Eldest sister, introduced alongside the others, but often listed first in the quintuplet order.",1,Chapter 1,0,1
C0007,2,Nino Nakano,Female,0,0,2,,,Tsundere,Pink,1.0,"Second sister, aggressive romantic interest.",1,Chapter 1,0,1
C0008,2,Miku Nakano,Female,0,0,3,,,Dandere,Brown,1.0,"Third sister, shy and reserved.",1,Chapter 1,0,1
C0009,2,Yotsuba Nakano,Female,1,0,4,Childhood Promise,Marriage,Genki,Orange,1.0,Confirmed as the girl from the childhood promise and the canonical winner.,1,Chapter 1,0,1
C0010,2,Itsuki Nakano,Female,0,1,5,,,Deredere,Red,1.0,"Fifth sister, but the first to interact with the protagonist in the opening chapter.",1,Chapter 1,0,1
C0011,3,Eriri Spencer Sawamura,Female,0,1,1,Childhood Friend,,Tsundere,Blonde,1.0,Eriri is the first major heroine introduced as a romantic interest and childhood friend.,1,Episode 1,0,3
C0012,3,Utaha Kasumigaoka,Female,0,0,2,,,Onee-san,Black,1.0,Utaha is introduced as the second major romantic interest.,1,Episode 1,0,3
C0013,3,Megumi Kato,Female,1,0,3,,,Kuudere,Brown,1.0,Megumi is the titular heroine and the canonical winner of the series.,1,Episode 1,0,3
C0014,3,Michiru Hyodo,Female,0,0,4,,,Genki,Black,0.85,Automatically recovered missing major candidate: Michiru Hyodo.,2,Episode 4,3,1
C0015,3,Izumi Hashima,Female,0,0,5,,,Dandere,Red,0.85,Automatically recovered missing major candidate: Izumi Hashima.,3,Episode 7,2,2
C0016,4,Ayumi Takahara,Female,0,1,1,,,Genki,Brown,1.0,First major conquest in the series.,1,Chapter 1,1,5
C0017,4,Kanon Nakagawa,Female,0,0,2,,,Genki,Pink,1.0,Second major conquest.,3,Chapter 11,1,5
C0018,4,Shiori Shiomiya,Female,0,0,3,,,Dandere,Brown,1.0,Third major conquest.,4,Chapter 23,2,4
C0019,4,Tsukiyo Kujyo,Female,0,0,4,,,Dandere,Silver,1.0,Fourth major conquest.,9,Chapter 65,1,5
C0020,4,Tenri Ayukawa,Female,0,0,5,Childhood Promise,,Dandere,Blue,1.0,Childhood friend and goddess host.,6,Chapter 40,0,8
C0021,4,Yui Goido,Female,0,0,6,,,Deredere,Black,1.0,Sixth major conquest.,8,Chapter 53,0,8
C0022,4,Mio Aoyama,Female,0,0,7,,,Tsundere,Black,1.0,Seventh major conquest.,2,Chapter 5,0,8
C0023,4,Kusunoki Kasuga,Female,0,0,8,,,Tsundere,Black,1.0,Eighth major conquest.,5,Chapter 33,4,3
C0024,4,Kanon Hinoki,Female,0,0,9,,,Genki,Green,0.85,Automatically recovered missing major candidate: Kanon Hinoki.,10,Not Applicable,625,2
C0025,4,Chihiro Kosaka,Female,0,0,10,,,Deredere,Brown,0.85,Automatically recovered missing major candidate: Chihiro Kosaka.,7,Chapter 41,772,1
C0026,5,Naru Narusegawa,Female,1,1,1,Childhood Promise,Marriage,Tsundere,Blue,1.0,"Naru is the primary heroine, the first girl introduced, and the canonical winner who marries Keitaro.",1,Chapter 1,728,2
C0027,5,Shinobu Maehara,Female,0,0,2,,,Dandere,Brown,0.95,"Introduced early as a tenant, but remains a supporting character.",1,Chapter 1,117,7
C0028,5,Mutsumi Otohime,Female,0,0,3,Childhood Promise,,Dandere,Black,0.95,"Introduced later as a rival for the childhood promise, but does not win.",2,Chapter 13,233,3
C0029,5,Motoko Aoyama,Female,0,0,4,,,Tsundere,Black,0.95,"Introduced as a tenant and rival, does not win.",1,Chapter 1,145,5
C0030,5,Kaolla Su,Female,0,0,5,,,Genki,Brown,0.95,"Introduced as a tenant, does not win.",1,Chapter 1,121,6
C0031,5,Kitsune Konno,Female,0,0,6,Childhood Friend,,Onee-san,Purple,0.95,"Introduced as a tenant and childhood friend, does not win.",1,Chapter 1,149,4
C0032,5,Kanako Urashima,Female,0,0,7,,,Yandere,Black,0.95,"Introduced late as a stepsister, does not win.",3,Chapter 80,1828,1
C0033,6,Tsukasa Nishino,Female,1,1,1,,,Deredere,Brown,0.95,The first girl introduced as a romantic interest and the canonical winner of the manga.,1,Chapter 1,121,3
C0034,6,Aya Toujou,Female,0,0,2,,,Dandere,Black,0.95,A major romantic interest and primary contender throughout the series.,1,Chapter 1,145,2
C0035,6,Satsuki Kitaooji,Female,0,0,3,,,Genki,Brown,0.95,Introduced as a major romantic rival to Aya and Tsukasa.,2,Chapter 10,149,1
C0036,6,Itsuki Minami,Female,0,0,4,,,Genki,Brown,0.95,Introduced later in the series as a romantic interest.,3,Chapter 34,73,4
C0037,6,Yui Amachi,Female,0,0,5,Childhood Friend,,Genki,Brown,0.95,The childhood friend character introduced late in the series.,4,Chapter 59,4,5
C0038,7,Moka Akashiya,Female,0,1,1,,,Deredere,Pink,1.0,The primary heroine and the first girl introduced to the protagonist.,1,Chapter 1,5,3
C0039,7,Kurumu Kurono,Female,0,0,2,,,Genki,Blue,1.0,Introduced shortly after Moka as a romantic rival.,2,Chapter 2,32,1
C0040,7,Yukari Sendo,Female,0,0,3,,,Dandere,Purple,1.0,Introduced as a romantic interest following Kurumu.,3,Chapter 3,1,6
C0041,7,Mizore Shirayuki,Female,0,0,4,,,Kuudere,Blue,1.0,Introduced as a romantic interest following Yukari.,4,Chapter 14,5,3
C0042,7,Ruby Tojo,Female,0,0,5,,,Onee-san,Red,1.0,Introduced as a romantic interest following Mizore.,5,Chapter 17,3,5
C0043,7,Kokoa Shuzen,Female,0,0,6,,,Tsundere,White,1.0,Introduced as a romantic interest following Ruby.,6,"Chapter 27 (Rosario + Vampire Season II, Chapter 1)",16,2
C0044,8,Yukino Yukinoshita,Female,1,1,1,,,Kuudere,Black,1.0,Yukino is the primary heroine and the canonical winner of the series.,1,"Volume 1, Chapter 1",0,3
C0045,8,Yui Yuigahama,Female,0,0,2,,,Genki,Pink,1.0,Yui is a major romantic interest introduced shortly after Yukino.,2,"Volume 1, Chapter 2",0,3
C0046,8,Iroha Isshiki,Female,0,0,3,,,Deredere,Brown,1.0,Iroha is introduced later in the series as a romantic interest.,4,"Volume 7, Chapter 1",0,3
